CSWC,$49.86,1439683837724,9545
CAPNW,$0.7799,1439683837745,215
CAPN,$3.05,1439683837812,898859
CARA,$21.91,1439683837904,133308
CPST,$0.4018,1439683837968,717302
CAPR,$4.12,1439683837991,35784
CARB,$11.66,1439683838041,42578
CBYL,$6.28,1439683838110,38646
CRDC,$0.4,1439683838178,29190
CFNL,$23.528,1439683838261,59766
CSII,$24.2,1439683838400,177670
CATM,$35.33,1439683838420,104211
CDNA,$6.31,1439683838488,15675
CRME,$9.77,1439683838615,64964
CLBH,$12.8,1439683838686,1040
CECO,$3.99,1439683838706,301907
CTRE,$11.2122,1439683838717,361640
CKEC,$23.95,1439683838751,83395
CARO,$16.09,1439683838783,8504
CART,$5.46,1439683838869,1338
CRZO,$35.06,1439683838959,527432
CARV,$5.86,1439683839189,212
CASM,$1.12,1439683839217,32906
TAST,$12.93,1439683839248,101527
CRTN,$2.89,1439683839311,19546
CSCD,$14,1439683839340,19817
CACB,$5.55,1439683839374,62322
CASI,$1.53,1439683839388,8742
CWST,$6.27,1439683839503,153542
CASY,$106.61,1439683839566,186358
CPRX,$4.11,1439683839628,242775
CASS,$51.35,1439683839645,10885
CATY,$32.18,1439683839700,169694
CATB,$11.99,1439683839752,18867
CVCO,$73.4488,1439683840033,24994
CAVM,$71.64,1439683840055,319178
CBFV,$20.05,1439683840091,5187
CBOE,$64.4229,1439683840265,209983
CDK,$50.99,1439683840403,409820
CECE,$10.1,1439683840480,98965
CPXX,$2.25,1439683840535,67115
CELGZ,$1.98,1439683840554,24800
CDW,$39.18,1439683840582,1048758
CELG,$129.24,1439683840643,2096121
CLDN,$1.05,1439683840724,110063
CLDX,$16.34,1439683840844,2315311
CLRB,$3.12,1439683840899,2069
CLRBW,$0.85,1439683840913,4282
CBMG,$23.77,1439683840964,16338
CLTX,$0.58,1439683841112,27378
CLSN,$2.19,1439683841138,34865
CYAD,$55,1439683841213,802
CLLS,$32.67,1439683841237,64503
CEMP,$37.26,1439683841268,275470
CETX,$2.7,1439683841307,126599
CETV,$2.29,1439683841410,73683
CSFL,$14.17,1439683841433,70836
CENTA,$11.95,1439683841646,56021
CFBK,$1.32,1439683841712,7802
