TFSC,NULL,1439682002766,[]
CVCY,$11.13,1439682035206,[u'200']
CENX,$6.07,1439682035336,[u'1,106,936']
CNTY,$6.35,1439682035412,[u'7,045']
CPHD,$49.05,1439682035443,[u'966,386']
CNBKA,$41.61,1439682035513,[u'2,429']
CRNT,$1.4,1439682035545,[u'268,791']
CERE,$1.75,1439682035598,[u'272,756']
CERN,$64.253,1439682035687,[u'2,095,458']
CERU,$3.5,1439682035752,[u'42,059']
CERS,$4.76,1439682035866,[u'382,454']
KOOL,$0.675,1439682035899,[u'13,513']
CYOU,$20.2964,1439682035927,[u'76,909']
CEVA,$19.26,1439682035958,[u'81,703']
HOTR,$1.62,1439682035983,[u'194,026']
HOTRW,NULL,1439682036034,[]
CTHR,$1.23,1439682036122,[u'32,192']
GTLS,$24.72,1439682036180,[u'308,120']
CHFN,$12.62,1439682036258,[u'35,586']
CHTR,$180,1439682036290,[u'514,138']
CHKP,$80.8,1439682036320,[u'533,556']
CHEK,$3.33,1439682036438,[u'2,931']
CHEKW,NULL,1439682036483,[]
CEMI,$4.74,1439682036708,[u'3,616']
CCXI,$6.53,1439682036757,[u'75,187']
CHKE,$27.96,1439682036818,[u'14,705']
CHFC,$32.92,1439682036830,[u'29,124']
CHEV,$14.8,1439682036859,[u'883']
CHMG,$26.65,1439682036884,[u'17']
CHMA,$28.7,1439682036905,[u'281,053']
PLCE,$59.59,1439682037004,[u'156,707']
CBNK,$16.82,1439682037062,[u'138']
CMRX,$49.98,1439682037183,[u'186,569']
CADC,NULL,1439682037194,[]
CAAS,$6.73,1439682037220,[u'32,872']
CBAK,$2.48,1439682037246,[u'5,531']
CALI,$1.02,1439682037310,[u'5,147']
CBPO,$109.63,1439682037479,[u'137,138']
CCCL,$0.93,1439682037599,[u'2,179']
CCCR,NULL,1439682037652,[]
CHOP,$1.3,1439682037867,[u'1,815']
HGSH,$1.93,1439682037877,[u'8,547']
JRJC,$4.44,1439682037919,[u'15,373']
CJJD,$2.25,1439682037939,[u'29,683']
