CLRB,$3.12,1439682336133,[u'2,069']
CLRBW,$0.85,1439682336204,[u'4,282']
CLSN,$2.19,1439682336224,[u'34,865']
CLLS,$32.67,1439682336247,[u'64,503']
CBMG,$23.77,1439682336313,[u'16,338']
CLTX,$0.58,1439682336442,[u'27,378']
CYAD,$55,1439682336541,[u'802']
CEMP,$37.26,1439682336572,[u'275,470']
CETX,$2.7,1439682336609,[u'126,599']
CSFL,$14.17,1439682336647,[u'70,836']
CETV,$2.29,1439682336664,[u'73,683']
CFBK,$1.32,1439682336695,[u'7,802']
CENT,$11.21,1439682336757,[u'16,568']
CENTA,$11.95,1439682336900,[u'56,021']
CVCY,$11.13,1439682336974,[u'200']
CENX,$6.07,1439682336984,[u'1,106,936']
CNBKA,$41.61,1439682337057,[u'2,429']
CNTY,$6.35,1439682337075,[u'7,045']
CPHD,$49.05,1439682337093,[u'966,386']
CRNT,$1.4,1439682337150,[u'268,791']
CERN,$64.253,1439682337407,[u'2,095,458']
CERS,$4.76,1439682337437,[u'382,454']
CERE,$1.75,1439682337451,[u'272,756']
CERU,$3.5,1439682337486,[u'42,059']
CEVA,$19.26,1439682337507,[u'81,703']
KOOL,$0.675,1439682337531,[u'13,513']
CYOU,$20.2964,1439682337546,[u'76,909']
HOTR,$1.62,1439682337621,[u'194,026']
HOTRW,NULL,1439682337781,[]
CTHR,$1.23,1439682337848,[u'32,192']
GTLS,$24.72,1439682337916,[u'308,120']
CHTR,$180,1439682337932,[u'514,138']
CHFN,$12.62,1439682337965,[u'35,586']
CHKP,$80.8,1439682338037,[u'533,556']
CHEK,$3.33,1439682338086,[u'2,931']
CHEKW,NULL,1439682338263,[]
CHFC,$32.92,1439682338279,[u'29,124']
CEMI,$4.74,1439682338298,[u'3,616']
CHMG,$26.65,1439682338322,[u'17']
CHKE,$27.96,1439682338332,[u'14,705']
CCXI,$6.53,1439682338387,[u'75,187']
CHMA,$28.7,1439682338414,[u'281,053']
CHEV,$14.8,1439682338424,[u'883']
CBNK,$16.82,1439682338744,[u'138']
PLCE,$59.59,1439682338800,[u'156,707']
CADC,NULL,1439682338815,[]
CMRX,$49.98,1439682338927,[u'186,569']
CALI,$1.02,1439682338941,[u'5,147']
CBPO,$109.63,1439682339008,[u'137,138']
CCCR,NULL,1439682339061,[]
CCCL,$0.93,1439682339083,[u'2,179']
JRJC,$4.44,1439682339093,[u'15,373']
HGSH,$1.93,1439682339130,[u'8,547']
CHOP,$1.3,1439682339205,[u'1,815']
CHLN,$1.39,1439682339269,[u'6,811']
CBAK,$2.48,1439682339377,[u'5,531']
CAAS,$6.73,1439682339399,[u'32,872']
CNIT,$1.82,1439682339410,[u'81,629']
